네가,NNP
뭘로,NNP
국군,NNP
한명,NNP
제2,NNP
대한,NNP
유일,NNP
동안,NNP
제일,NNP
원래,NNP
아침,NNP
평생,NNP
한방,NNP
느낌,NNP
일단,NNP
역대,NNP
ㅂㅅ,NNP
gt,NNP
그래,NNP
답이,NNP
미쳐,NNP
어째,NNP
느그,NNP
않고,NNP
애초,NNP
불법,NNP
될것,NNP
정말,NNP
쉽게,NNP
기본,NNP
먹고,NNP
없지,NNP
누굴,NNP
그걸,NNP
듣고,NNP
저리,NNP
살고,NNP
보면,NNP
가면,NNP
일도,NNP
결국,NNP
고작,NNP
말은,NNP
있음,NNP
아예,NNP
개가,NNP
저게,NNP
나쁜,NNP
맞지,NNP
없음,NNP
토착,NNP
어느,NNP
오직,NNP
주고,NNP
그저,NNP
자꾸,NNP
거다,NNP
알고,NNP
혹시,NNP
벌써,NNP
아마,NNP
근데,NNP
맞고,NNP
할줄,NNP
쓰고,NNP
가고,NNP
잡고,NNP
훨씬,NNP
빼고,NNP
에휴,NNP
ㅠㅠ,NNP
ㅎㅎ,NNP
ㅡㅡ,NNP
것은,NNP
이젠,NNP
무슨,NNP
뭐야,NNP
건가,NNP
하긴,NNP
명복,NNP
않냐,NNP
ㅅㅂ,NNP
더욱,NNP
과연,NNP
모든,NNP
이참,NNP
정작,NNP
자가,NNP
뭔데,NNP
