81,"""南北美 ㅡ 큰 걸음을 뗐다 ㅡ 이젠 엄청난 한반도 평화가 우리 곁에 성큼 다가왔다 ㅡ 미국도 북한을 이해했을 것이고 많은 준비하리라 본다"""
82,"""토착왜구들 애잔하다 니들이 아무리그래도 소용없어 한반도평화 방해하지말고 왕따 아베나 신경쓰렴 ^^"""
83,"""트럼프 재선을 위해서 그냥 한번 깜빡쇼 한것 가지고 어지간히 우려 먹를려고 하네....결과를 두고 봐라..."""
84,"""잘해도 질알  못하면  거품물고  질알 가만 있어도 꼬투리 잡아 질알  잘 하는 것은 오직 질알  자유 지랄당"""
85,"""여기서 악플다는 것들은 한국이 망했으면 좋겠지? 아베나베일베 토착왜구 매국노 싹다 후쿠시마로 보내버리고싶다"""
86,"""김제동 매니저에서 정말 많이 출세했다..ㅠㅠ"""
87,"""원 쉰바늠들 말들 많네. 안싸웅고 저렇게 사이 좋으면 좋은 거지? 뭔 불만들이 그렇게 많어? 전쟁을 원해?"""
88,"""형식보다는 결과가중요 평화를위해서라면 가능한일다해야"""
89,"""대한민국 국기도 대한민국의 국격도 어느곳에도 찾아볼 수 없었음 오직 트럼프와 김정은의 소꿈장난에 세금만 축내며 놀아나는 문대변인"""
90,"""모든 기획이 니 손에서 벗어나니 소외감 느끼는 것 같네, 현민아! 그냥 내려놓고 살아라, 그렇게 어렵게 산다고 누가 알아줄 것도 아니고... 너는 비난에 익숙해지더라도 가족들은 힘들다...정권 바뀌면 이민 갈거냐? 둥글게 살아라..."""
91,"""ㅋㅋㅋㅋㅋ... 결국엔 다 쑈라는 걸 너네쪽에서도 인정하고 있는 거였어.. ㅋㅋㅋㅋ..재미지구나...ㅋㅋ"""
92,"""문재인이 그렇게 애걸복걸 퍼주기해도 욕만 하던 정은이가 트럼프의 트위터 한방에 내려온다. 평화는 힘으로 지키는거다...왜 내려왔을까 힘의 논리다 미국이란  나라가 힘이없는 나라 라면 콧방귀뀌고있을거다 ....평화는 힘이 지켜주는거다  ..."""
93,"""열폭 오지는 틀딱들이 다모였네.ㅋ 어떻게든 깎아내리려고 부들부들.. 으이구 쓰레기덜아..."""
94,"""골치 아픈 국내문제 잠시 덮는 데 성공한? 문통~~~\n이런 쇼로 무지한  국민들 길들이면 영화관에서 가슴만 부플게하는 영화보고 허상에 점점 빠져들듯이 현실에서 일하기 싫어져 나라 망친다."""
95,"""얘야   이미 문재인은 트럼프 김정은이  가지고 놀다 버린 장난감인거 온 지구가 다안다."""
96,"""탁현민이 많이 배워야 겠다 트럼프 봐라 쇼맨쉽은 저렇게 하는거란다 거짓말없이 멋인잖아 !!  국민을 개돼지로보고  쇼를 기획하는  현민이 뭐 느낀게 없냐?"""
97,"""자한당 종자들은 두렵겠다. 핵폐기 하면 인제 공격할 꺼리가 없는데 뭘로 할려나"""
98,"""너의 좌파들은 쇼가 특기인거 다안다."""
99,"""한국 땅에서 주체측은 어디간겨? 저게 말이되는 상황인겨? 판문점이 미국 땅인겨....최소한 un기는 있어야 맞는 거 아녀?.....한국 정부가 너무 무신경한 거 아녀....배경에 태극기를 못달았냐?...그냥 무시하고 안단겨?"""
100,"""ㅋㅋ 미국의 김여정이란다 ㅋㅋㅋ 얼척이없네"""
101,"""surreal 이라고 한 것은 '초현실적' 이라고 번역하는 것이 옳을 듯 합니다. '비현실' 이라고 번역하면 부정적 의미를 나타내는 것이고 초현실적이라고 하면  '현실을 넘어서는'   '이 세상이 아닌 듯한' '상상하기 어려운' 그런 의미라고 생각됩니다. 제말이 꼭 맞다는 것은 아니지만 비현실이라고 했을 때는 이방카의 생각을 정확하게 전달하기 어려울 듯 하네요."""
102,"""김여정 신신애씨 닮은듯... 나만그런가?"""
103,"""와꾸차이 너무 나는데..."""
104,"""당분한 이라고 적혀있다. 기자는 대체 시험보고뽑았냐"""
