,0
46,"""2016년 설립.짱개 공산당이 경영하는 공기업으로부터 6000억 투자유치한 회사인데 대표이사는 알리안츠생명 부지점장 출신, 사원수는 3명,짱개 돈 6000억 쏟아부음, 그후 전기차 배터리 필수소재인 음극재 생산업체이자 국내 중소기업인 더블류에프엠 사들임, 이거 돈세탁+한국 기술 먹튀라 본다.이런 짱깨 회사에 조국이 75억 투자계약 과연?"""
47,"""총선이고 대선이고, 생각잘합시다.운동권,주사파,사노맹,민노총,전교조 돌머리들이 나라운영하면 개판에 내로남불에 선동,분열은 감수해야되며 또한 나라발전에 도움안되며 외교도 왕따 당합니다. 평생 투표 약40~50번 하는데 생각잘하고 합시다"""
48,"""야건여건 재물을 탐한자 공직에 올라서는 안된다\n역사적으로도 재물을 탐한자 올곧게 남은 사람이 역사적으로 없다"""
49,"""유유상종이라 했다 조국을 보면 문재인 수준을 알수있고 좌파들 수준을 충분히 알수있다  그런데도문재인지지자들아 이제 정신 좀 차려라  제발"""
50,"""조국을 한마디로 표현 하자면 그냥 걸어다니는 비리제조기네. 그러면서 죽창을 들라느니 온갖 선동질은 다하더니 당신같은 사람은 법무부 장관이 되면 안됨"""
51,"""조국 비리 복마전 돈에 영혼 판 인간 이중성 죽창 들고 반일운동 하자는 넘이 명품 시계는 왜 차고 다니는지 18 완전히 개념 상실한 인간 토착 빨갱이"""
52,"""딱보니 이거 아니냐? 계약은 업계약서쓰고 실제로는 그보다 적게 투자 나중에 계약서대로 투자금돌려받는식? 이거면 완전 뇌물아니냐?"""
53,"""사회공산주의자 벌레 새끼가 자본주의에서 누릴 수 있는 건 죄다 누리면서 국민들한테는 이 더운 날 나가서 싸우라고 선동? ㅋㅋㅋ 문재앙 빨아대는 한심한 국민들아 정신 좀 차려라 이딴 사회공산주의자 좋으면 북으로 넘어가라. 여기는 자유민주주의 대한민국이다. 상식이 조금이라도 있으면 딱 보이는데 다른 참한 국민들까지 같이 피해보게 만드네.. 또 이러면 아베며 토착왜구며 지롤하겠지 ㅋㅋ사회공산주의 국가에 살 바에 자유민주주의 일본에 사는 게 낫지 ㅋ 선동하는 새끼들도 그럴거면서 ㅋ 벌레 같은 쓰레기 빨갱2 새끼들 ㅋㅋ 자유가 좋거든~"""
54,"""죄파대표 3대개소리 : 김상곤 \""강남살아보니 별거없다\"" 유시민\""설대보내보니 별거없다\"" 조희연\""외고보내보니 별거 없다\"" 이제 조국은 4번째 어떤 개소리를 준비했을까. \""돈벌어보니 별거 없다\"" 이런거?"""
55,"""국민은 죽창들고 총알받이하라고 선동하고  \n뒤로는 본인 가족들 잇속 다 챙기고\n이게 니들 정치 방식이지~18"""
56,"""이런 사람이 민정수석한게 진짜 국정농단이 아닌지?? 최순실이 뭘 잘못했던거??"""
57,"""문재인: 그래셔 조국 후보자가 뭐 샬인이라도 했슙니꽈?? 검찰개혁 최고의 젹임쟈 아니곘슙니꽈아?ㅋㅋ 임명 강행하겠숩니돠ㅎㅎ"""
58,"""진짜 파도파도 계속 나오네.. 법을 잘 아시니까 법을 이용해서 어마어마한 돈을 모으셨네. 회사 고의부도는 상상을 초월하는군요."""
59,"""조작미터 믿는 사람 없습니다 실시간 여론조사입니다\n문재인 탄핵 추천 찬성// 반대 눌러주세요"""
60,"""이놈아 좀 웃기네. 페북으로는 분배와 평등타령하더니. 하는 짓은  자본주의 시장경제를 추종을 하네.."""
61,"""아마 예전 정부에 이같은 인시를 했다면 촛불로 매일 시끄러웠을건데...이번에 밝혀진 게 촛불이 나라를 위한 촛불이 아니라 나라를 망치는 촛불이란거...정말 응원을 많이 했었는데 실망감에 몸서리칩니다.."""
62,"""정말 최악이다. 돈 많으데 서민위하는척 , 투기인데 투자인척, 좌빨일뿐인데 나라위하는척,  자기혼자 애국인척,  교육평준화 외치는데 가족들은 최고로 교육시키고~~  다들 척척..척척박사..최악이다.최악"""
63,"""국가보안법  전과자에, 부동산투기, 펀드투기등 저런자가 법무부장관이라.. 역시 문죄인.. 꼴린데로 하는거는 1등이다"""
64,"""나는 대구사는 20대 애국보수다 지금 대한민국은 박정희 대통령이 건국하셨다고해도 과언이 아니다 그런분의 딸인 박근혜 대통령께서 어떤 비리나 잘못도 저지르지 않았는데 김정은과 내한한 빨갱이들의 공격으로 억울하게 감옥에가셨다 최순실은 박근혜 대통령님에게 조언좀 했다고 그게 무슨 잘못인가? 최순실이 문재앙 빨갱이보다 정치도 더 잘하고 똑똑하다 우리 대구에서 최순실 출마선언하면 뽑아줄 의향이있다 애국보수들은 조대표님있는 당으로 뭉쳐 태극기로 궐기하여 빨갱이로부터 이땅을 다시찾고 박대통령 명예회복후 대통령으로 다시 앉혀 자유대한민국 만들자!"""
